Time,Time Code,Country Name,Country Code,Population density (people per sq. km of land area) [EN.POP.DNST],Urban population [SP.URB.TOTL],Urban population growth (annual %) [SP.URB.GROW],"Manufacturing, value added (current US$) [NV.IND.MANF.CD]","Industry, value added (current US$) [NV.IND.TOTL.CD]","Agriculture, value added (current US$) [NV.AGR.TOTL.CD]","Services, etc., value added (current US$) [NV.SRV.TETC.CD]",Present value of external debt (current US$) [DT.DOD.PVLX.CD],"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total) [EN.ATM.PM25.MC.ZS]","Water productivity, total (constant 2010 US$ GDP per cubic meter of total freshwater withdrawal) [ER.GDP.FWTL.M3.KD]",Fuel exports (% of merchandise exports) [TX.VAL.FUEL.ZS.UN],Fuel imports (% of merchandise imports) [TM.VAL.FUEL.ZS.UN],Merchandise exports (current US$) [TX.VAL.MRCH.CD.WT],Merchandise imports (current US$) [TM.VAL.MRCH.CD.WT],Access to electricity (% of population) [EG.ELC.ACCS.ZS],High-technology exports (current US$) [TX.VAL.TECH.CD],"Tariff rate, applied, weighted mean, all products (%) [TM.TAX.MRCH.WM.AR.ZS]",CPIA business regulatory environment rating (1=low to 6=high) [IQ.CPA.BREG.XQ],CPIA policy and institutions for environmental sustainability rating (1=low to 6=high) [IQ.CPA.ENVR.XQ],CO2 emissions (metric tons per capita) [EN.ATM.CO2E.PC],Urban population (% of total) [SP.URB.TOTL.IN.ZS],Rural population (% of total population) [SP.RUR.TOTL.ZS],"Air transport, freight (million ton-km) [IS.AIR.GOOD.MT.K1]",Travel services (% of commercial service imports) [TM.VAL.TRVL.ZS.WT],Travel services (% of commercial service exports) [TX.VAL.TRVL.ZS.WT],Transport services (% of commercial service exports) [TX.VAL.TRAN.ZS.WT],Transport services (% of commercial service imports) [TM.VAL.TRAN.ZS.WT],"Air transport, passengers carried [IS.AIR.PSGR]","Railways, goods transported (million ton-km) [IS.RRS.GOOD.MT.K6]","Railways, passengers carried (million passenger-km) [IS.RRS.PASG.KM]"
1961,YR1961,United States,USA,20.0558797068663,129276215,2.20057087771013,..,..,..,..,..,..,..,..,..,21037000000,15952200000,..,..,..,..,..,15.6812555160569,70.377,29.623,..,..,..,..,..,..,..,..
1961,YR1961,China,CHN,70.3357920805262,110327936,2.0535955782573,..,15984239174.5877,17917783735.4781,16154846047.6074,..,..,..,..,..,1941660000,1746680000,..,..,..,..,..,0.836046900792028,16.708,83.292,..,..,..,..,..,..,..,..
1961,YR1961,Japan,JPN,258.911917098446,60965749,4.08246777244392,..,..,..,..,..,..,..,..,..,4235560000,5810280000,..,..,..,..,..,2.98197938763258,64.213,35.787,..,..,..,..,..,..,..,..
1961,YR1961,Germany,DEU,210.172806690917,52609561,1.20737022423226,..,..,..,..,..,..,..,..,..,12650600000,11011300000,..,..,..,..,..,..,71.697,28.303,..,..,..,..,..,..,..,..
1961,YR1961,France,FRA,86.6466343783215,29703735,2.5058584713105,15095996093.565,20528800883.7945,6156913034.46403,..,..,..,..,..,..,7224340000,6682520000,..,..,..,..,..,5.92713046381042,62.607,37.393,..,..,..,..,..,..,..,..
1961,YR1961,United Kingdom,GBR,218.244946885463,41381472,0.67118446676585,..,..,..,..,..,..,..,..,..,11074000000,12728800000,..,..,..,..,..,11.1541389204545,78.374,21.626,..,..,..,..,..,..,..,..
1961,YR1961,India,IND,154.209775695465,82675812,2.5863959969803,6174633276.63328,8687384468.38447,15813317499.3175,11999928032.928,..,..,..,..,..,1386210000,2285640000,..,..,..,..,..,0.284413565084247,18.032,81.968,..,..,..,..,..,..,..,..
1961,YR1961,Brazil,BRA,8.89573074870725,35036038,5.03441392874368,4193057035.9607,5577261388.21488,2604792800.57867,5178179205.8387,..,..,..,..,..,1403000000,1460000000,..,..,..,..,..,0.661770535286433,47.122,52.878,..,..,..,..,..,..,..,..
1961,YR1961,Italy,ITA,171.828057529496,30249038,1.498806985842,..,..,..,..,..,..,..,..,..,4184000000,5220800000,..,..,..,..,..,2.46455580982798,59.856,40.144,..,..,..,..,..,..,..,..
1961,YR1961,Canada,CAN,2.00923515782135,12729040,2.87621051458498,..,..,..,..,..,..,..,..,..,6085260000,6062190000,..,..,..,..,..,10.6278976520169,69.668,30.332,..,39.3025911471815,49.883872194555,33.3055103540971,36.3276492105861,..,..,..
